Author,Date,Area,,,,
Chen-Tsung Hsieh ,Mon Mar 16 15:24:19 2020,800,,,,
Chen-Yu Tsai ,Mon Feb 3 17:37:48 2020 ,-800,,,,
Chin-Yen Lee ,Mon Feb 3 14:01:57 2020 ,800,,,,
Chris Down ,Sat Mar 21 18:22:23 2020,-700,,,,
Chris Mason ,Tue Jan 21 11:51:42 2020,-500,,,,
Chris Packham ,Thu Mar 12 09:05:46 2020,1300,,,,
Chris Park ,Fri Dec 20 15:30:05 2019,-500,,,,
Chris Wilson ,Wed Mar 11 09:26:23 2020,0,,,,
Christian Borntraeger ,Fri Feb 28 09:49:41 2020,100,,,,
Christian Brauner ,Wed Mar 11 11:53:09 2020,100,,,,
Christian Gromm ,Thu Jan 23 16:38:23 2020,100,,,,
Christian Hewitt ,Thu Feb 20 19:33:10 2020,400,,,,
Christian K??nig ,Thu Jan 16 14:06:59 2020,100,,,,
Christian Lachner ,Sun Feb 23 10:24:16 2020,100,,,,
Christian Zigotzky ,Wed Jan 29 20:54:43 2020,-700,,,,
Christina Jacob ,Mon Jan 27 18:35:28 2020,530,,,,
Christoffer Dall ,Thu Dec 12 20:50:55 2019,100,,,,
Christoph Hellwig ,Fri Jan 24 01:01:34 2020,800,,,,
Christoph Paasch ,Tue Jan 21 16:56:32 2020,-800,,,,
Christophe JAILLET ,Fri Feb 28 22:38:38 2020,100,,,,
Christophe Leroy ,Fri Mar 6 16:49:49 2020 ,0,,,,
Christophe Roullier ,Fri Nov 22 14:22:46 2019,100,,,,
Chuansheng Liu ,Tue Jan 7 00:41:16 2020 ,0,,,,
Chuck Lever ,Wed Feb 12 11:12:30 2020,-500,,,,
Chuhong Yuan ,Fri Dec 6 15:55:31 2019 ,800,,,,
Chunguang Xu ,Sat Mar 21 18:22:10 2020,-700,,,,
Chunyan Zhang ,Mon Jan 20 11:32:23 2020,800,,,,
Claudiu Beznea ,Fri Jan 17 13:58:29 2020,200,,,,
Clay Chang ,Sun Jan 5 09:18:13 2020 ,800,,,,
Cl¨¦ment P¨¦ron ,Mon Jan 13 10:23:13 2020,100,,,,
Codrin.Ciubotariu@microchip.com ,Tue Jan 7 11:17:47 2020 ,0,,,,
Colin Ian King ,Thu Jan 30 22:15:25 2020,-800,,,,
Coly Li ,Thu Feb 13 22:12:07 2020,800,,,,
Cong Wang ,Thu Dec 26 22:32:04 2019,-800,,,,
Corentin Labbe ,Mon Jan 6 20:32:08 2020 ,100,,,,
Corey Minyard ,Fri Mar 6 11:23:14 2020 ,-600,,,,
Cristian Marussi ,Wed Mar 11 17:12:45 2020,0,,,,
Cyril Hrubis ,Tue Mar 3 16:06:38 2020 ,100,,,,
Dafna Hirschfeld ,Wed Jan 22 14:57:41 2020,100,,,,
Dai Ngo ,Wed Jan 22 20:45:39 2020,-500,,,,
Dajun Jin ,Mon Mar 2 20:24:21 2020 ,-800,,,,
Damian van Soelen ,Wed Jan 15 17:46:19 2020,100,,,,
Damien Le Moal ,Wed Feb 12 19:34:24 2020,900,,,,
Dan Callaghan ,Tue Jan 21 10:12:17 2020,1000,,,,
Dan Carpenter ,Fri Feb 28 12:22:59 2020,300,,,,
Dan Lazewatsky ,Wed Feb 26 14:34:38 2020,0,,,,
Dan Moulding ,Tue Jan 28 02:31:07 2020,-700,,,,
Dan Murphy ,Wed Feb 26 07:03:05 2020,-600,,,,
Dan Williams ,Mon Jan 13 18:22:45 2020,100,,,,
dan.carpenter@oracle.com ,Wed Jan 15 20:46:28 2020,300,,,,
Daniel Axtens ,Tue Feb 25 10:44:27 2020,-800,,,,
Daniel Borkmann ,Wed Feb 5 22:06:09 2020 ,100,,,,
Daniel Campello ,Tue Jan 7 11:24:21 2020 ,-700,,,,
Daniel D¨ªaz ,Wed Jan 22 17:44:24 2020,100,,,,
Daniel Drake ,Thu Mar 12 14:09:55 2020,800,,,,
Daniel Golle ,Fri Feb 7 11:53:35 2020 ,200,,,,
Daniel Jordan ,Mon Jan 13 17:52:40 2020,-500,,,,
Daniel Kolesa ,Thu Feb 6 20:14:35 2020 ,100,,,,
Daniel Lezcano ,Thu Dec 19 23:21:53 2019,100,,,,
Daniel Rosenberg ,Mon Jan 20 14:32:01 2020,-800,,,,
Daniel Thompson ,Thu Feb 6 11:40:09 2020 ,0,,,,
Daniel Verkamp ,Fri Jan 3 10:40:45 2020 ,-800,,,,
Daniel Vetter ,Sat Feb 22 18:54:32 2020,100,,,,
Daniel W. S. Almeida ,Wed Jan 29 02:06:21 2020,-300,,,,
Daniel Wagner ,Mon Mar 2 14:24:08 2020 ,100,,,,
Daniele Palmas ,Wed Mar 4 11:43:10 2020 ,100,,,,
Danit Goldberg ,Thu Jan 16 14:00:48 2020,200,,,,
Darrick J. Wong ,Thu Jan 23 17:01:20 2020,-800,,,,
Dave Airlie ,Fri Mar 20 12:51:34 2020,1000,,,,
Dave Ertman ,Thu Feb 6 01:20:00 2020 ,-800,,,,
Dave Hansen ,Thu Jan 23 10:41:20 2020,-800,,,,
Dave Jiang ,Wed Feb 19 10:24:56 2020,-700,,,,
Dave Martin ,Wed Dec 11 18:40:06 2019,0,,,,
David Ahern ,Fri Jan 10 09:03:58 2020,-800,,,,
David Engraf ,Mon Dec 16 12:18:25 2019,100,,,,
David Hildenbrand ,Mon Feb 3 17:34:26 2020 ,-800,,,,
David Howells ,Thu Feb 6 13:57:40 2020 ,0,,,,
David Michael ,Sun Jan 26 17:31:58 2020,-500,,,,
David Rientjes ,Thu Jan 30 22:14:48 2020,-800,,,,
David S. Miller ,Fri Mar 6 21:55:32 2020 ,-800,,,,
David Sterba ,Tue May 14 01:59:54 2019,200,,,,
David Woodhouse ,Thu Nov 21 14:53:11 2019,0,,,,
Davide Caratti ,Thu Mar 12 17:51:45 2020,100,,,,
Davidlohr Bueso ,Mon Feb 3 17:34:32 2020 ,-800,,,,
Dejin Zheng ,Thu Feb 6 23:29:17 2020 ,800,,,,
Dennis Dalessandro ,Tue Feb 25 14:54:45 2020,-500,,,,
Dennis Li ,Thu Jan 16 13:40:52 2020,800,,,,
Dennis Zhou ,Fri Dec 13 16:22:21 2019,-800,,,,
Desnes A. Nunes do Rosario ,Thu Feb 27 10:47:15 2020,-300,,,,
Devulapally Shiva Krishna ,Thu Feb 6 14:04:43 2020 ,530,,,,
Dexuan Cui ,Mon Jan 6 14:42:39 2020 ,-800,,,,
Dilip Kota ,Fri Dec 20 17:53:24 2019,800,,,,
Dillon Brock ,Sat Jan 18 11:25:42 2020,-500,,,,
Dinh Nguyen ,Mon Feb 3 15:55:09 2020 ,-600,,,,
Dirk Behme ,Tue Jan 21 16:54:39 2020,100,,,,
Dmitry Bezrukov ,Fri Feb 14 18:44:51 2020,300,,,,
Dmitry Bogdanov ,Tue Mar 10 18:22:25 2020,300,,,,
Dmitry Monakhov ,Thu Nov 14 20:01:47 2019,0,,,,
Dmitry Osipenko ,Sun Feb 9 19:33:39 2020 ,300,,,,
Dmitry Safonov ,Wed Feb 12 14:00:40 2020,0,,,,
Dmitry Torokhov ,Fri Jan 31 17:42:33 2020,-800,,,,
Dmitry Vyukov ,Thu Jan 30 22:17:35 2020,-800,,,,
Dmitry Yakunin ,Thu Mar 5 17:45:57 2020 ,300,,,,
Dmytro Laktyushkin ,Wed Oct 30 15:25:19 2019,-400,,,,
Dmytro Linkin ,Wed Feb 12 11:32:39 2020,200,,,,
Dominik Czarnota ,Mon Mar 9 16:22:50 2020 ,100,,,,
Dongdong Liu ,Thu Jan 23 16:26:31 2020,800,,,,
Dongli Zhang ,Tue Mar 3 14:14:23 2020 ,-800,,,,
Dor Askayo ,Sat Jan 4 14:22:15 2020 ,200,,,,
Doug Smythies ,Mon Jan 27 19:59:57 2020,-800,,,,
Douglas Anderson ,Thu Feb 20 20:04:12 2020,-800,,,,
Dr. David Alan Gilbert ,Wed Dec 25 02:32:25 2019,0,,,,
Dragos Tarcatu ,Fri Feb 7 20:53:25 2020 ,200,,,,
Eddie James ,Tue Jan 7 09:40:40 2020 ,-600,,,,
Edward Cree ,Mon Mar 9 18:16:24 2020 ,0,,,,
Edwin Peer ,Sun Mar 1 22:07:18 2020 ,-500,,,,
Eelco Chaudron ,Wed Jan 15 13:15:39 2020,0,,,,
Egor Pomozov ,Fri Feb 14 18:44:53 2020,300,,,,
EJ Hsu ,Thu Jan 30 01:25:06 2020,-800,,,,
Eli Cohen ,Sun Jan 12 13:43:37 2020,200,,,,
Emil Velikov ,Fri Nov 1 13:03:11 2019 ,0,,,,
Emmanuel Grumbach ,Fri Jan 31 15:45:29 2020,200,,,,
Enric Balletbo i Serra ,Wed Jan 22 10:07:01 2020,100,,,,
Eran Ben Elisha ,Mon Oct 7 10:30:32 2019 ,300,,,,
Erdem Aktas ,Fri Dec 13 13:31:46 2019,-800,,,,
Erez Shitrit ,Tue Jan 14 09:27:27 2020,200,,,,
Eric Auger ,Fri Feb 7 15:27:13 2020 ,100,,,,
Eric Biggers ,Mon Feb 24 10:20:44 2020,-800,,,,
Eric Dumazet ,Sat Mar 7 22:05:14 2020 ,-800,,,,
Eric Hankland ,Mon Jan 27 13:22:56 2020,-800,,,,
Eric Sandeen ,Fri Dec 6 10:45:01 2019 ,-600,,,,
Eric Snowberg ,Sat Dec 7 11:16:03 2019 ,-500,,,,
Eric Yang ,Mon Dec 9 16:18:21 2019 ,-500,,,,
Erik Bussing ,Wed Jan 15 17:46:16 2020,100,,,,
Erin Lo ,Tue Nov 12 19:03:25 2019,800,,,,
Erwan Velu ,Thu Feb 27 19:00:46 2020,100,,,,
Esben Haabendal ,Fri Feb 21 07:47:58 2020,100,,,,
Etienne Carriere ,Mon Jan 13 14:14:26 2020,100,,,,
Eugen Hristev ,Tue Jan 28 12:57:39 2020,0,,,,
Eugene Syromiatnikov ,Wed Jan 15 17:35:38 2020,100,,,,
Eugenio P¨¦rez ,Fri Feb 21 12:06:56 2020,100,,,,
Eugeniu Rosca ,Wed Feb 26 18:50:36 2020,100,,,,
Eugeniy Paltsev ,Mon Mar 16 14:25:19 2020,300,,,,
Evan Benn ,Fri Feb 7 15:23:51 2020 ,1100,,,,
Evan Green ,Tue Feb 11 14:37:00 2020,-800,,,,
Evan Quan ,Wed Mar 11 14:15:27 2020,800,,,,
Eyal Birger ,Tue Jan 14 10:03:50 2020,200,,,,
Ezequiel Garcia ,Tue Feb 4 20:38:37 2020 ,100,,,,
Fabian Frederick ,Thu Jun 5 20:22:05 2014 ,200,,,,
Fabio Estevam ,Mon Feb 17 16:15:03 2020,-300,,,,
Fabrice Gasnier ,Wed Mar 4 09:55:32 2020 ,100,,,,
Faiz Abbas ,Tue Jan 28 19:17:59 2020,530,,,,
Felipe Cardoso Resende ,Thu Jan 16 21:42:14 2020,-300,,,,
Felix Fietkau ,Thu Feb 20 12:41:39 2020,100,,,,
Felix Kuehling ,Fri Jan 17 20:08:42 2020,-500,,,,
Filipe La¨ªns ,Sat Jan 11 19:24:19 2020,0,,,,
Filipe Manana ,Fri Mar 20 18:43:48 2020,0,,,,
Finn Thain ,Thu Jan 23 09:07:26 2020,1100,,,,
Firo Yang ,Wed Feb 12 06:09:17 2020,100,,,,
Flora Cui ,Thu Jan 9 10:21:39 2020 ,800,,,,
Florent Revest ,Mon Jan 13 10:42:44 2020,100,,,,
Florian Fainelli ,Mon Feb 24 15:56:32 2020,-800,,,,
Florian Westphal ,Mon Feb 3 17:34:58 2020 ,-800,,,,
Frank A. Cancio Bello ,Tue Dec 24 19:06:57 2019,-500,,,,
Frank Sorenson ,Wed Feb 12 15:31:48 2020,-600,,,,
Frederic Barrat ,Thu Nov 21 14:49:18 2019,100,,,,
Frieder Schrempf ,Tue Feb 25 08:23:20 2020,0,,,,
Fritz Koenig ,Fri Jan 10 13:35:51 2020,-800,,,,
Fugang Duan ,Tue Feb 11 14:16:01 2020,800,,,,
Gabriel Krisman Bertazi ,Mon Jan 6 13:58:17 2020 ,-500,,,,
Gal Pressman ,Wed Jan 29 09:18:03 2020,200,,,,
Ganapathi Bhat ,Mon Jan 13 10:42:46 2020,0,,,,
Gang He ,Mon Feb 3 17:33:45 2020 ,-800,,,,
Gao Xiang ,Tue Jan 21 14:48:19 2020,800,,,,
Gaurav Agrawal ,Thu Feb 13 17:06:10 2020,-800,,,,
Gavin Shan ,Thu Feb 20 20:04:24 2020,-800,,,,
Gayatri Kammela ,Wed Dec 11 12:00:43 2019,-800,,,,
Geert Uytterhoeven ,Tue Jan 21 11:37:14 2020,100,,,,
Geetha sowjanya ,Mon Jan 27 18:35:27 2020,530,,,,
George Shen ,Tue Dec 17 14:34:33 2019,-500,,,,
Georgi Djakov ,Wed Feb 26 13:04:20 2020,200,,,,
Gerald Schaefer ,Thu Feb 27 12:56:42 2020,100,,,,
Gerd Hoffmann ,Fri Mar 13 09:41:52 2020,100,,,,
Gilad Ben-Yossef ,Thu Jan 16 12:14:46 2020,200,,,,
Gilles Buloz ,Fri Nov 29 10:56:05 2019,100,,,,
Golan Ben Ami ,Fri Jan 31 15:45:26 2020,200,,,,
Govind Singh ,Fri Jan 3 19:14:14 2020 ,530,,,,
Grant Likely ,Wed Feb 5 00:16:27 2020 ,0,,,,
Greentime Hu ,Thu Jan 9 11:17:40 2020 ,800,,,,
Greg Kroah-Hartman ,Fri Feb 14 08:11:48 2020,-800,,,,
Greg Kurz ,Thu Jul 4 00:03:19 2019 ,200,,,,
Greg Ungerer ,Fri Jan 17 16:28:19 2020,1000,,,,
Grygorii Strashko ,Wed Feb 19 18:21:26 2020,200,,,,
Guangbin Huang ,Fri Feb 14 09:53:43 2020,800,,,,
Guchun Chen ,Tue Feb 11 12:10:44 2020,800,,,,
Guennadi Liakhovetski ,Fri Jan 24 15:36:25 2020,-600,,,,
Guenter Roeck ,Sun Apr 29 08:39:24 2018,-700,,,,
Guido G¨¹nther ,Fri Dec 27 11:22:54 2019,100,,,,
Guillaume La Roque ,Fri Jan 17 14:34:23 2020,100,,,,
Guillaume Nault ,Thu Jan 16 21:16:46 2020,100,,,,
Guo Ren ,Wed Feb 12 10:24:52 2020,800,,,,
Guojia Liao ,Tue Jan 21 16:42:09 2020,800,,,,
Guoju Fang ,Fri Jan 24 01:01:38 2020,800,,,,
Guoqing Jiang ,Mon Dec 23 10:49:02 2019,100,,,,
Guoyun Sun ,Wed Jan 15 11:35:00 2020,800,,,,
Gustavo A. R. Silva ,Fri Aug 30 10:14:06 2019,-500,,,,
Gustavo Luiz Duarte ,Tue Feb 11 00:38:29 2020,-300,,,,
H. Nikolaus Schaller ,Fri Mar 6 18:28:30 2020 ,100,,,,
H.J. Lu ,Thu Jan 16 12:46:51 2020,-800,,,,
H??kon Bugge ,Thu Jan 23 16:55:21 2020,100,,,,
Hadar Gat ,Thu Jan 16 12:14:37 2020,200,,,,
Haiwei Li ,Mon Mar 2 20:19:28 2020 ,800,,,,
Haiyang Zhang ,Fri Feb 21 08:32:18 2020,-800,,,,
Haiyi Zhou ,Thu Jan 9 11:08:33 2020 ,-500,,,,
