作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数
Wen-chien Jesse Sung ,1,1,#N/A,2,
Wenjing Liu ,7,1,#N/A,2,
Wenjing Liu ,7,1,#N/A,2,
Wenwen Wang ,3,1,#N/A,2,
Wenwen Wang ,3,1,#N/A,2,
wenxu ,2,2,#N/A,2,
wenxu ,2,2,#N/A,2,
Wesley Sheng ,2,1,#N/A,2,
Wesley Sheng ,2,1,#N/A,2,
Will Deacon ,17,5,#N/A,4,
Will Deacon ,17,5,#N/A,4,
Willem de Bruijn ,4,2,#N/A,4,
Willem de Bruijn ,4,2,#N/A,4,
William Dauchy ,3,1,#N/A,4,
William Dauchy ,3,1,#N/A,4,
Wolfram Sang ,24,5,#N/A,4,
Wolfram Sang ,24,5,#N/A,4,
Wyatt Wood ,3,1,#N/A,4,
Wyatt Wood ,3,1,#N/A,4,
Xiang Chen ,2,1,#N/A,4,
Xiang Chen ,2,1,#N/A,4,
Xiao Yang ,1,1,#N/A,4,
Xiao Yang ,1,1,#N/A,4,
Xiaochen Shen ,6,4,#N/A,4,
Xiaochen Shen ,6,4,#N/A,4,
xiaofeng.yan ,1,1,#N/A,4,
xiaofeng.yan ,1,1,#N/A,4,
Xiaoguang Wang ,2,1,#N/A,4,
Xiaoguang Wang ,2,1,#N/A,4,
Xiaoyao Li ,1,1,#N/A,4,
Xiaoyao Li ,1,1,#N/A,4,
Xin Long ,1,1,#N/A,4,
Xin Long ,1,1,#N/A,4,
xinhui pan ,1,1,#N/A,4,
xinhui pan ,1,1,#N/A,4,
Xiong ,1,1,#N/A,4,
Xiong ,1,1,#N/A,4,
Xiubo Li ,16,2,#N/A,4,
Xiubo Li ,16,2,#N/A,4,
Xu Wang ,2,1,#N/A,4,
Xu Wang ,2,1,#N/A,4,
Yang Shi ,2,2,#N/A,4,
Yang Shi ,2,2,#N/A,4,
Yangbo Lu ,7,2,#N/A,4,
Yangbo Lu ,7,2,#N/A,4,
yangerkun ,2,2,#N/A,4,
yangerkun ,2,2,#N/A,4,
Yangtao Li ,19,2,#N/A,4,
Yangtao Li ,19,2,#N/A,4,
Yan-Hsuan Chuang ,6,2,#N/A,4,
Yan-Hsuan Chuang ,6,2,#N/A,4,
Yash Shah ,9,2,#N/A,4,
Yash Shah ,9,2,#N/A,4,
Yauhen Kharuzhy ,3,1,#N/A,4,
Yauhen Kharuzhy ,3,1,#N/A,4,
Yazen Ghannam ,5,1,#N/A,4,
Yazen Ghannam ,5,1,#N/A,4,
Yevgeny Kliteynik ,1,1,#N/A,4,
Yevgeny Kliteynik ,1,1,#N/A,4,
Yi Zhang ,1,1,#N/A,4,
Yi Zhang ,1,1,#N/A,4,
Yicong Yang ,1,1,#N/A,4,
Yicong Yang ,1,1,#N/A,4,
Yintian Tao ,1,1,#N/A,4,
Yintian Tao ,1,1,#N/A,4,
Yishai Hadas ,6,2,#N/A,4,
Yishai Hadas ,6,2,#N/A,4,
Yonatan Cohen ,1,1,#N/A,4,
Yonatan Cohen ,1,1,#N/A,4,
Yong Zhao ,3,1,#N/A,4,
Yong Zhao ,3,1,#N/A,4,
Yong Zhi ,2,1,#N/A,4,
Yong Zhi ,2,1,#N/A,4,
yong.liang ,5,1,#N/A,4,
yong.liang ,5,1,#N/A,4,
Yonghong Song ,8,3,#N/A,4,
Yonghong Song ,8,3,#N/A,4,
Yonghyun Hwang ,1,1,#N/A,4,
Yonghyun Hwang ,1,1,#N/A,4,
Yonglong Liu ,4,4,#N/A,4,
Yonglong Liu ,4,4,#N/A,4,
Yongqiang Sun ,4,1,#N/A,4,
Yongqiang Sun ,4,1,#N/A,4,
Yoshiki Komachi ,2,2,#N/A,4,
Yoshiki Komachi ,2,2,#N/A,4,
You-Sheng Yang ,1,1,#N/A,4,
You-Sheng Yang ,1,1,#N/A,4,
yu kuai ,4,3,#N/A,4,
yu kuai ,4,3,#N/A,4,
Yu Zhao ,2,1,#N/A,4,
Yu Zhao ,2,1,#N/A,4,
Yue Hu ,1,1,#N/A,4,
Yue Hu ,1,1,#N/A,4,
YueHaibing ,33,7,#N/A,4,
yuehaibing ,1,1,#N/A,4,
YueHaibing ,33,7,#N/A,4,
yuehaibing ,1,1,#N/A,4,
Yufeng Mo ,1,1,#N/A,4,
Yufeng Mo ,1,1,#N/A,4,
Yu-Hsuan Hsu ,1,1,#N/A,4,
Yu-Hsuan Hsu ,1,1,#N/A,4,
Yuji Sasaki ,1,1,#N/A,4,
Yuji Sasaki ,1,1,#N/A,4,
Yuki Taguchi ,1,1,#N/A,4,
Yuki Taguchi ,1,1,#N/A,4,
Yulia Kartseva ,1,1,#N/A,4,
Yulia Kartseva ,1,1,#N/A,4,
Yunfeng Ye ,2,1,#N/A,4,
Yunfeng Ye ,2,1,#N/A,4,
Yunsheng Lin ,3,2,#N/A,4,
Yunsheng Lin ,3,2,#N/A,4,
Yurii Monakov ,2,2,#N/A,4,
Yurii Monakov ,2,2,#N/A,4,
Yury Norov ,10,1,#N/A,4,
Yury Norov ,10,1,#N/A,4,
Yuti Amonkar ,1,1,#N/A,4,
Yuti Amonkar ,1,1,#N/A,4,
Zaibo Xu ,13,1,#N/A,4,
Zaibo Xu ,13,1,#N/A,4,
Zak Hays ,2,1,#N/A,4,
Zak Hays ,2,1,#N/A,4,
Zeng Tao ,1,1,#N/A,4,
Zeng Tao ,1,1,#N/A,4,
Zenghui Yu ,11,3,#N/A,4,
Zenghui Yu ,11,3,#N/A,4,
Zhan Liu ,2,1,#N/A,4,
Zhan Liu ,2,1,#N/A,4,
Zhang Xiaoxu ,5,4,#N/A,4,
Zhang Xiaoxu ,5,4,#N/A,4,
zhangyi (F) ,6,3,#N/A,4,
zhangyi (F) ,6,3,#N/A,4,
Zheng Bin ,4,1,#N/A,4,
Zheng Bin ,4,1,#N/A,4,
zhengbin ,19,1,#N/A,4,
zhengbin ,19,1,#N/A,4,
Zhengyuan Liu ,3,3,#N/A,4,
Zhengyuan Liu ,3,3,#N/A,4,
zhenwei pi ,2,1,#N/A,4,
zhenwei pi ,2,1,#N/A,4,
Zhenyu Wang ,1,1,#N/A,4,
Zhenyu Wang ,1,1,#N/A,4,
Zhenzhong Duan ,2,2,#N/A,4,
Zhenzhong Duan ,2,2,#N/A,4,
Zhi Chen ,1,1,#N/A,4,
Zhi Chen ,1,1,#N/A,4,
Zhihao Cheng ,1,1,#N/A,4,
Zhihao Cheng ,1,1,#N/A,4,
Zhiqiang Liu ,2,1,#N/A,4,
Zhiqiang Liu ,2,1,#N/A,4,
Zhou Wang ,1,1,#N/A,4,
Zhou Wang ,1,1,#N/A,4,
Zhu Yanjun ,1,1,#N/A,4,
Zhu Yanjun ,1,1,#N/A,4,
Zhuang Yanying ,1,1,#N/A,4,
Zhuang Yanying ,1,1,#N/A,4,
Zong Li ,3,1,#N/A,4,
Zong Li ,3,1,#N/A,4,
Zong-Zhe Yang ,1,1,#N/A,4,
Zong-Zhe Yang ,1,1,#N/A,4,
周琰杰 (Zhou Yanjie) ,3,1,#N/A,4,
周琰杰 (Zhou Yanjie) ,3,1,#N/A,4,
