作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数,能力指数,时区,,时区,时区内总和/总贡献度,时区内平均,时区内人数
Zhan Liu ,2,1,0,0,2,0.8289,-500,,,,,
Byungchul Park ,1,1,0,0,1,0.465,-400,,,,,
Dmytro Laktyushkin ,1,1,0,0,1,0.465,-400,,,,,
Ilia Mirkin ,1,1,0,0,1,0.465,-400,,,,,
Joel Fernandes (Google) ,5,1,0,0,5,1.9206,-400,,,,,
Len Brown ,5,1,0,0,5,1.9206,-400,,,,,
Leon Romanovsky ,8,4,0,0,8,3.3156,-400,,,,,
Mathieu Desnoyers ,1,1,0,0,1,0.465,-400,,,,,
Nitesh Narayan Lal ,1,1,0,0,1,0.465,-400,,,,,
or: Alex Deucher ,1,1,0,0,1,0.465,-400,,,,,
Sven Van Asbroeck ,1,1,0,0,1,0.465,-400,,,,,
Tony Fischetti ,1,1,0,0,1,0.465,-400,,,,,
Willem de Bruijn ,4,2,0,0,4,1.6578,-400,,,,,
Alexandre Oliva ,1,1,0,0,1,0.465,-300,,,,,
Arnaldo Carvalho de Melo ,24,2,0,0,24,8.9358,-300,,,,,
Daniel W. S. Almeida ,12,1,0,0,12,4.4679,-300,,,,,
Desnes A. Nunes do Rosario ,1,1,0,0,1,0.465,-300,,,,,
Fabio Estevam ,1,1,0,0,1,0.465,-300,,,,,
Felipe Cardoso Resende ,1,1,0,0,1,0.465,-300,,,,,
Gustavo Luiz Duarte ,1,1,0,0,1,0.465,-300,,,,,
hor: Paulo Alcantara (SUSE) ,1,1,0,0,1,0.465,-300,,,,,
Jerónimo Borque ,1,1,0,0,1,0.465,-300,,,,,
Julio Faracco ,2,1,0,0,2,0.8289,-300,,,,,
Leonardo Bras ,2,1,0,0,2,0.8289,-300,,,,,
Marcos Paulo de Souza ,2,1,0,0,2,0.8289,-300,,,,,
Matheus Castello ,1,1,0,0,1,0.465,-300,,,,,
Paulo Alcantara (SUSE) ,9,3,1,1,9,4.3806,-300,,,,,
Thadeu Lima de Souza Cascardo ,1,1,0,0,1,0.465,-300,,,,,
Ajay Singh ,6,1,0,0,6,2.2845,0,,,,,
Alain Michaud ,3,1,0,0,3,1.1928,0,,,,,
Alan Maguire ,2,2,0,0,2,0.93,0,,,,,
Alex Maftei (amaftei) ,13,1,0,0,13,4.8318,0,,,,,
Alexandru Elisei ,1,1,0,0,1,0.465,0,,,,,
Andrei Vagin ,23,1,0,0,23,8.4708,0,,,,,
Andrew Murray ,2,2,0,0,2,0.93,0,,,,,
Anirudh Ghayal ,1,1,0,0,1,0.465,0,,,,,
Anurag Kumar Vulisha ,1,1,0,0,1,0.465,0,,,,,
Arthur Kiyanovski ,9,2,0,0,9,3.4773,0,,,,,
Ben Whitten ,1,1,0,0,1,0.465,0,,,,,
Boris Ostrovsky ,6,2,0,0,6,2.3856,0,,,,,
Boris Protopopov ,1,1,0,0,1,0.465,0,,,,,
Bryan O'Donoghue ,4,3,0,0,4,1.7589,0,,,,,
Catalin Marinas ,4,2,0,0,4,1.6578,0,,,,,
Charles Keepax ,12,3,0,0,12,4.6701,0,,,,,
Chris Wilson ,44,24,1,1,44,19.2402,0,,,,,
Christophe Leroy ,65,14,0,0,65,25.0689,0,,,,,
Chuansheng Liu ,1,1,0,0,1,0.465,0,,,,,
Codrin.Ciubotariu@microchip.com ,1,1,0,0,1,0.465,0,,,,,
Cristian Marussi ,2,2,0,0,2,0.93,0,,,,,
Dan Lazewatsky ,1,1,0,0,1,0.465,0,,,,,
Daniel Thompson ,1,1,0,0,1,0.465,0,,,,,
Dave Martin ,1,1,0,0,1,0.465,0,,,,,
David Howells ,21,12,0,0,21,8.8551,0,,,,,
David Woodhouse ,1,1,0,0,1,0.465,0,,,,,
Dmitry Monakhov ,3,1,0,0,3,1.1928,0,,,,,
Dmitry Safonov ,14,2,0,0,14,5.2968,0,,,,,
Dr. David Alan Gilbert ,5,1,0,0,5,1.9206,0,,,,,
Edward Cree ,1,1,0,0,1,0.465,0,,,,,
Eelco Chaudron ,1,1,0,0,1,0.465,0,,,,,
Emil Velikov ,3,1,0,0,3,1.1928,0,,,,,
Eugen Hristev ,2,2,0,0,2,0.93,0,,,,,
Filipe Laíns ,1,1,0,0,1,0.465,0,,,,,
Filipe Manana ,13,8,0,0,13,5.5395,0,,,,,
Frieder Schrempf ,1,1,0,0,1,0.465,0,,,,,
Ganapathi Bhat ,2,1,0,0,2,0.8289,0,,,,,
Grant Likely ,1,1,0,0,1,0.465,0,,,,,
Hou Pengyang ,1,1,0,0,1,0.465,0,,,,,
Ian Abbott ,2,2,0,0,2,0.93,0,,,,,
Igor Druzhinin ,3,1,0,0,3,1.1928,0,,,,,
Jack Mitchell ,1,1,0,0,1,0.465,0,,,,,
James Hughes ,1,1,0,0,1,0.465,0,,,,,
James Morse ,6,2,0,0,6,2.3856,0,,,,,
Jann Horn ,2,1,0,0,2,0.8289,0,,,,,
Jason Gunthorpe ,35,7,3,3,35,15.8508,0,,,,,
Jeremy Sowden ,11,1,0,0,11,4.104,0,,,,,
Jisheng Zhang ,2,1,0,0,2,0.8289,0,,,,,
Joakim Zhang ,3,1,0,0,3,1.1928,0,,,,,
Joe Thornber ,1,1,0,0,1,0.465,0,,,,,
John Fastabend ,12,9,0,0,12,5.2767,0,,,,,
John Keeping ,4,1,0,0,4,1.5567,0,,,,,
John Stultz ,3,1,0,0,3,1.1928,0,,,,,
Jon Hunter ,1,1,0,0,1,0.465,0,,,,,
Jules Irenge ,1,1,0,0,1,0.465,0,,,,,
Julien Thierry ,1,1,0,0,1,0.465,0,,,,,
Jun Li ,3,2,0,0,3,1.2939,0,,,,,
Kuniyuki Iwashima ,1,1,0,0,1,0.465,0,,,,,
Laurentiu Tudor ,2,1,0,0,2,0.8289,0,,,,,
Lee Jones ,1,1,1,1,1,1.2672,0,,,,,
Lorenz Bauer ,6,5,0,0,6,2.6889,0,,,,,
Lucas Tanure ,1,1,0,0,1,0.465,0,,,,,
Luo bin ,3,1,0,0,3,1.1928,0,,,,,
Malcolm Priestley ,6,2,0,0,6,2.3856,0,,,,,
Marc Zyngier ,21,6,0,0,21,8.2485,0,,,,,
Mark Brown ,21,2,14,13,21,18.615,0,,,,,
Mark Rutland ,11,3,0,0,11,4.3062,0,,,,,
Matthew Auld ,2,2,0,0,2,0.93,0,,,,,
Michal Wajdeczko ,4,1,0,0,4,1.5567,0,,,,,
Milind Parab ,1,1,0,0,1,0.465,0,,,,,
Nicholas Johnson ,9,1,0,0,9,3.3762,0,,,,,
Nicola Lunghi ,1,1,0,0,1,0.465,0,,,,,
Nishad Kamdar ,3,1,0,0,3,1.1928,0,,,,,
Oder Chiou ,1,1,0,0,1,0.465,0,,,,,
Oleksandr Suvorov ,2,2,0,0,2,0.93,0,,,,,
Omer Shpigelman ,1,1,0,0,1,0.465,0,,,,,
Orr Mazor ,1,1,0,0,1,0.465,0,,,,,
"Pan, Xinhui ",1,1,0,0,1,0.465,0,,,,,
Peng Fan ,3,2,0,0,3,1.2939,0,,,,,
Peter Robinson ,2,2,0,0,2,0.93,0,,,,,
Philippe Schenker ,1,1,0,0,1,0.465,0,,,,,
Prabhakar Kushwaha ,1,1,0,0,1,0.465,0,,,,,
Pratham Pratap ,1,1,0,0,1,0.465,0,,,,,
Qais Yousef ,2,2,0,0,2,0.93,0,,,,,
Quentin Deslandes ,1,1,0,0,1,0.465,0,,,,,
Rhys Perry ,1,1,0,0,1,0.465,0,,,,,
Richard Dodd ,1,1,0,0,1,0.465,0,,,,,
Richard Henderson ,11,1,0,0,11,4.104,0,,,,,
Robert Milkowski ,2,2,0,0,2,0.93,0,,,,,
Robin Murphy ,6,3,0,0,6,2.4867,0,,,,,
Russell King ,45,4,0,0,45,16.7799,0,,,,,
Sameeh Jubran ,3,2,0,0,3,1.2939,0,,,,,
Sameer Rahmani ,1,1,0,0,1,0.465,0,,,,,
Sergey Gorenko ,1,1,0,0,1,0.465,0,,,,,
Sergey Matyukevich ,6,1,0,0,6,2.2845,0,,,,,
Shyam Kumar Thella ,1,1,0,0,1,0.465,0,,,,,
Srinivas Kandagatla ,9,1,0,0,9,3.3762,0,,,,,
Steven Price ,28,1,0,0,28,10.2903,0,,,,,
Sunil Muthuswamy ,1,1,0,0,1,0.465,0,,,,,
Suzuki K Poulose ,7,2,0,0,7,2.7495,0,,,,,
Sven Auhagen ,1,1,0,0,1,0.465,0,,,,,
Taehee Yoo ,19,13,0,0,19,8.2284,0,,,,,
Tom Zhao ,1,1,0,0,1,0.465,0,,,,,
Tudor Ambarus ,2,2,0,0,2,0.93,0,,,,,
Tvrtko Ursulin ,3,2,0,0,3,1.2939,0,,,,,
Tyler Hicks ,3,1,0,0,3,1.1928,0,,,,,
Vadim Pasternak ,21,5,0,0,21,8.1474,0,,,,,
Valentin Schneider ,1,1,0,0,1,0.465,0,,,,,
Vladimir Murzin ,5,2,0,0,5,2.0217,0,,,,,
"Wang, Peng 1. (NSB - CN/Hangzhou) ",1,1,0,0,1,0.465,0,,,,,
Wei Liu ,2,1,0,0,2,0.8289,0,,,,,
Wei Yongjun ,5,5,0,0,5,2.325,0,,,,,
Wenwen Wang ,3,1,0,0,3,1.1928,0,,,,,
Xu Wang ,2,1,0,0,2,0.8289,0,,,,,
Yangtao Li ,19,2,0,0,19,7.1163,0,,,,,
Yazen Ghannam ,5,1,0,0,5,1.9206,0,,,,,
YueHaibing ,33,7,0,0,33,12.7164,0,,,,,
Zak Hays ,2,1,0,0,2,0.8289,0,,,,,
Adam Williamson ,1,1,0,0,1,0.465,100,,,,,
Ahmad Fatoum ,1,1,0,0,1,0.465,100,,,,,
Alain Volmat ,1,1,0,0,1,0.465,100,,,,,
Alex Sverdlin ,1,1,0,0,1,0.465,100,,,,,
Alexandra Winter ,1,1,0,0,1,0.465,100,,,,,
Alexandre Belloni ,16,4,0,0,16,6.2268,100,,,,,
Amadeusz S??awiński ,10,2,0,0,10,3.8412,100,,,,,
Amelie Delaunay ,1,1,0,0,1,0.465,100,,,,,
André Hentschel ,2,1,0,0,2,0.8289,100,,,,,
Andrea Parri ,3,1,0,0,3,1.1928,100,,,,,
Andreas Gruenbacher ,4,2,0,0,4,1.6578,100,,,,,
Andreas Kemnade ,1,1,0,0,1,0.465,100,,,,,
Andreas Larsson ,1,1,0,0,1,0.465,100,,,,,
Andrei Otcheretianski ,3,1,0,0,3,1.1928,100,,,,,
Andrew Jones ,1,1,0,0,1,0.465,100,,,,,
Andrew Lunn ,6,5,0,0,6,2.6889,100,,,,,
Andrey Shvetsov ,1,1,0,0,1,0.465,100,,,,,
Anilkumar Kolli ,1,1,0,0,1,0.465,100,,,,,
Anshuman Khandual ,6,1,0,0,6,2.2845,100,,,,,
Anthony Mallet ,2,2,0,0,2,0.93,100,,,,,
Antoine Tenart ,11,2,0,0,11,4.2051,100,,,,,
Arnaud Pouliquen ,1,1,0,0,1,0.465,100,,,,,
Artem Savkov ,1,1,0,0,1,0.465,100,,,,,
Arthur Heymans ,2,1,0,0,2,0.8289,100,,,,,
Arvind Sankar ,32,1,0,0,32,11.7459,100,,,,,
Aurelien Aptel ,4,2,0,0,4,1.6578,100,,,,,
Bean Huo ,9,2,0,0,9,3.4773,100,,,,,
Ben Dooks ,1,1,0,0,1,0.465,100,,,,,
Benjamin Block ,1,1,0,0,1,0.465,100,,,,,
Benjamin Thiel ,1,1,0,0,1,0.465,100,,,,,
Bernard Metzler ,2,2,0,0,2,0.93,100,,,,,
Biju Das ,1,1,0,0,1,0.465,100,,,,,
Bingbu Cao ,2,1,0,0,2,0.8289,100,,,,,
Bj??rn Mork ,2,2,0,0,2,0.93,100,,,,,
Bj??rn T??pel ,1,1,0,0,1,0.465,100,,,,,
Bob Peterson ,1,1,0,0,1,0.465,100,,,,,
Boris Brezillon ,3,2,0,0,3,1.2939,100,,,,,
Borislav Petkov ,4,2,0,0,4,1.6578,100,,,,,
Carlo Nonato ,1,1,0,0,1,0.465,100,,,,,
Carlos Maiolino ,5,1,0,0,5,1.9206,100,,,,,
Cezary Rojewski ,2,2,0,0,2,0.93,100,,,,,
Christian Borntraeger ,8,5,0,0,8,3.4167,100,,,,,
Christian Brauner ,5,4,0,0,5,2.2239,100,,,,,
Christian Gromm ,10,1,0,0,10,3.7401,100,,,,,
Christian K??nig ,2,1,0,0,2,0.8289,100,,,,,
Christian Lachner ,1,1,0,0,1,0.465,100,,,,,
Christoffer Dall ,1,1,0,0,1,0.465,100,,,,,
Christophe JAILLET ,8,6,0,0,8,3.5178,100,,,,,
Christophe Roullier ,1,1,0,0,1,0.465,100,,,,,
Clément Péron ,1,1,0,0,1,0.465,100,,,,,
Corentin Labbe ,5,5,0,0,5,2.325,100,,,,,
Cyril Hrubis ,1,1,0,0,1,0.465,100,,,,,
Dafna Hirschfeld ,3,2,0,0,3,1.2939,100,,,,,
Damian van Soelen ,1,1,0,0,1,0.465,100,,,,,
Dan Williams ,6,1,0,0,6,2.2845,100,,,,,
Daniel Borkmann ,6,2,5,5,6,6.3966,100,,,,,
Daniel Díaz ,1,1,0,0,1,0.465,100,,,,,
Daniel Kolesa ,1,1,0,0,1,0.465,100,,,,,
Daniel Lezcano ,6,1,0,0,6,2.2845,100,,,,,
Daniel Vetter ,5,1,0,0,5,1.9206,100,,,,,
Daniel Wagner ,3,1,0,0,3,1.1928,100,,,,,
Daniele Palmas ,2,1,0,0,2,0.8289,100,,,,,
David Engraf ,1,1,0,0,1,0.465,100,,,,,
Davide Caratti ,6,6,0,0,6,2.79,100,,,,,
Dirk Behme ,1,1,0,0,1,0.465,100,,,,,
Dominik Czarnota ,1,1,0,0,1,0.465,100,,,,,
Enric Balletbo i Serra ,3,2,0,0,3,1.2939,100,,,,,
Eric Auger ,9,4,0,0,9,3.6795,100,,,,,
Erik Bussing ,1,1,0,0,1,0.465,100,,,,,
Erwan Velu ,1,1,0,0,1,0.465,100,,,,,
Esben Haabendal ,6,3,0,0,6,2.4867,100,,,,,
Etienne Carriere ,3,1,0,0,3,1.1928,100,,,,,
Eugene Syromiatnikov ,1,1,0,0,1,0.465,100,,,,,
Eugenio Pérez ,1,1,0,0,1,0.465,100,,,,,
Eugeniu Rosca ,3,3,0,0,3,1.395,100,,,,,
Ezequiel Garcia ,1,1,0,0,1,0.465,100,,,,,
Fabrice Gasnier ,3,3,0,0,3,1.395,100,,,,,
Felix Fietkau ,4,4,0,0,4,1.86,100,,,,,
Firo Yang ,1,1,0,0,1,0.465,100,,,,,
Florent Revest ,1,1,0,0,1,0.465,100,,,,,
Frederic Barrat ,12,2,0,0,12,4.569,100,,,,,
Geert Uytterhoeven ,36,12,0,0,36,14.3136,100,,,,,
Gerald Schaefer ,2,2,0,0,2,0.93,100,,,,,
Gerd Hoffmann ,5,2,0,0,5,2.0217,100,,,,,
Gilles Buloz ,2,1,0,0,2,0.8289,100,,,,,
Guido Günther ,1,1,0,0,1,0.465,100,,,,,
Guillaume La Roque ,3,2,0,0,3,1.2939,100,,,,,
Guillaume Nault ,4,1,0,0,4,1.5567,100,,,,,
Guoqing Jiang ,13,1,0,0,13,4.8318,100,,,,,
H. Nikolaus Schaller ,2,1,0,0,2,0.8289,100,,,,,
H??kon Bugge ,1,1,0,0,1,0.465,100,,,,,
Halil Pasic ,2,2,0,0,2,0.93,100,,,,,
Hannes Reinecke ,3,1,0,0,3,1.1928,100,,,,,
Hanno Zulla ,3,1,0,0,3,1.1928,100,,,,,
Hans de Goede ,12,2,0,0,12,4.569,100,,,,,
Hans Wippel ,1,1,0,0,1,0.465,100,,,,,
Hardik Gajjar ,1,1,0,0,1,0.465,100,,,,,
Hauke Mehrtens ,1,1,0,0,1,0.465,100,,,,,
Heiko Stuebner ,2,1,0,0,2,0.8289,100,,,,,
Heiner Kallweit ,27,3,0,0,27,10.1286,100,,,,,
Helge Deller ,1,1,0,0,1,0.465,100,,,,,
Horatiu Vultur ,1,1,0,0,1,0.465,100,,,,,
Ilya Dryomov ,1,1,0,0,1,0.465,100,,,,,
Ingo Molnar ,17,1,17,17,17,19.9248,100,,,,,
Jacek Anaszewski ,1,1,0,0,1,0.465,100,,,,,
Jakub Sitnicki ,5,3,0,0,5,2.1228,100,,,,,
Jan H. Sch??nherr ,3,1,0,0,3,1.1928,100,,,,,
Jan Kara ,6,4,0,0,6,2.5878,100,,,,,
Jaroslav Kysela ,1,1,0,0,1,0.465,100,,,,,
Jason A. Donenfeld ,34,5,0,0,34,12.8781,100,,,,,
Javier Martinez Canillas ,1,1,0,0,1,0.465,100,,,,,
Jayshri Pawar ,1,1,0,0,1,0.465,100,,,,,
Jean Delvare ,1,1,0,0,1,0.465,100,,,,,
Jean Pihet ,3,1,0,0,3,1.1928,100,,,,,
Jean-Baptiste Maneyrol ,1,1,0,0,1,0.465,100,,,,,
Jean-Philippe Brucker ,14,2,0,0,14,5.2968,100,,,,,
Jér??me Pouiller ,70,4,0,0,70,25.8774,100,,,,,
Jernej Skrabec ,5,5,0,0,5,2.325,100,,,,,
Jerome Brunet ,1,1,0,0,1,0.465,100,,,,,
Jesper Dangaard Brouer ,2,2,0,0,2,0.93,100,,,,,
Jessica Yu ,3,2,0,0,3,1.2939,100,,,,,
Jethro Beekman ,1,1,0,0,1,0.465,100,,,,,
Jim Quinlan ,3,1,0,0,3,1.1928,100,,,,,
Jiri Benc ,2,1,0,0,2,0.8289,100,,,,,
Jiri Kosina ,2,1,2,2,2,2.4333,100,,,,,
Jiri Olsa ,11,3,0,0,11,4.3062,100,,,,,
Jiri Slaby ,4,2,0,0,4,1.6578,100,,,,,
Jiri Wiesner ,2,2,0,0,2,0.93,100,,,,,
Joerg Roedel ,9,4,2,2,9,5.2839,100,,,,,
Johan Jonker ,9,1,0,0,9,3.3762,100,,,,,
Johan Korsnes ,2,1,0,0,2,0.8289,100,,,,,
Johannes Krude ,1,1,0,0,1,0.465,100,,,,,
Johannes Thumshirn ,7,1,0,0,7,2.6484,100,,,,,
John Crispin ,1,1,0,0,1,0.465,100,,,,,
Jonas Gorski ,1,1,0,0,1,0.465,100,,,,,
Jonas Karlman ,1,1,0,0,1,0.465,100,,,,,
Jonas Meurer ,1,1,0,0,1,0.465,100,,,,,
Jonathan Neusch??fer ,9,2,0,0,9,3.4773,100,,,,,
Jordy Ubink ,1,1,0,0,1,0.465,100,,,,,
Jose Abreu ,16,8,0,0,16,6.6312,100,,,,,
Jozsef Kadlecsik ,2,1,0,0,2,0.8289,100,,,,,
Juergen Gross ,6,5,0,0,6,2.6889,100,,,,,
Julia Lawall ,5,1,0,0,5,1.9206,100,,,,,
Julian Wiedmann ,17,5,0,0,17,6.6918,100,,,,,
Julien Masson ,1,1,0,0,1,0.465,100,,,,,
Kadlecsik József ,2,1,0,0,2,0.8289,100,,,,,
Kars de Jong ,1,1,0,0,1,0.465,100,,,,,
Karsten Graul ,2,1,0,0,2,0.8289,100,,,,,
kbuild test robot ,2,2,0,0,2,0.93,100,,,,,
Kees Cook ,11,4,0,0,11,4.4073,100,,,,,
Kent Gustavsson ,1,1,0,0,1,0.465,100,,,,,
Khouloud Touil ,1,1,0,0,1,0.465,100,,,,,
KP Singh ,1,1,0,0,1,0.465,100,,,,,
Kristian Evensen ,3,2,0,0,3,1.2939,100,,,,,
Krzysztof Kozlowski ,36,2,0,0,36,13.3026,100,,,,,
Lars M??llendorf ,1,1,0,0,1,0.465,100,,,,,
Linus Walleij ,28,5,12,12,28,20.3211,100,,,,,
Loic Poulain ,1,1,0,0,1,0.465,100,,,,,
Lorenzo Bianconi ,9,7,0,0,9,3.9828,100,,,,,
Lubomir Rintel ,3,2,0,0,3,1.2939,100,,,,,
Luc Van Oostenryck ,3,1,0,0,3,1.1928,100,,,,,
Luis Henriques ,2,2,0,0,2,0.93,100,,,,,
Lukas Bulwahn ,8,4,0,0,8,3.3156,100,,,,,
Lukas Wunner ,9,3,0,0,9,3.5784,100,,,,,
Maarten Lankhorst ,1,1,2,2,1,2.0694,100,,,,,
Maciej Fijalkowski ,3,3,0,0,3,1.395,100,,,,,
Maciej S. Szmigiero ,2,1,0,0,2,0.8289,100,,,,,
Magnus Karlsson ,2,1,0,0,2,0.8289,100,,,,,
Maoguang Meng ,1,1,0,0,1,0.465,100,,,,,
Marcel Holtmann ,3,1,0,0,3,1.1928,100,,,,,
Marcel Ziswiler ,1,1,0,0,1,0.465,100,,,,,
Marco Elver ,1,1,0,0,1,0.465,100,,,,,
Marek Behún ,1,1,0,0,1,0.465,100,,,,,
Marek Marczykowski-Górecki ,1,1,0,0,1,0.465,100,,,,,
Marek Szyprowski ,10,5,0,0,10,4.1445,100,,,,,
Mario Kleiner ,4,1,0,0,4,1.5567,100,,,,,
Markus Reichl ,1,1,0,0,1,0.465,100,,,,,
Markus Theil ,1,1,0,0,1,0.465,100,,,,,
Martijn Coenen ,1,1,0,0,1,0.465,100,,,,,
Martin Blumenstingl ,3,1,0,0,3,1.1928,100,,,,,
Martin Fuzzey ,2,1,0,0,2,0.8289,100,,,,,
Martin Kepplinger ,1,1,0,0,1,0.465,100,,,,,
Martin Schiller ,2,1,0,0,2,0.8289,100,,,,,
Mateusz Nosek ,2,1,0,0,2,0.8289,100,,,,,
Mathias Kresin ,1,1,0,0,1,0.465,100,,,,,
Matteo Croce ,3,2,0,0,3,1.2939,100,,,,,
Matthew Garrett ,1,1,0,0,1,0.465,100,,,,,
Matthias Brugger ,1,1,1,1,1,1.2672,100,,,,,
Matthias Fend ,1,1,0,0,1,0.465,100,,,,,
Matthias Reichl ,1,1,0,0,1,0.465,100,,,,,
Matthieu Baerts ,3,3,0,0,3,1.395,100,,,,,
Mauro Carvalho Chehab ,34,1,1,1,34,13.2759,100,,,,,
Mauro Rossi ,1,1,0,0,1,0.465,100,,,,,
Maxime Ripard ,4,4,0,0,4,1.86,100,,,,,
Micha?? Miros??aw ,9,4,0,0,9,3.6795,100,,,,,
Micha?? Winiarski ,2,1,0,0,2,0.8289,100,,,,,
Michael Grzeschik ,1,1,0,0,1,0.465,100,,,,,
Michael Petlan ,1,1,0,0,1,0.465,100,,,,,
Michael Straube ,14,1,0,0,14,5.1957,100,,,,,
Michael Walle ,13,4,0,0,13,5.1351,100,,,,,
Michal Koutn?? ,2,1,0,0,2,0.8289,100,,,,,
Michal Kubecek ,9,2,0,0,9,3.4773,100,,,,,
Michal Rostecki ,1,1,0,0,1,0.465,100,,,,,
Miguel Ojeda ,1,1,0,0,1,0.465,100,,,,,
Miklos Szeredi ,7,6,0,0,7,3.1539,100,,,,,
Mikulas Patocka ,11,5,0,0,11,4.5084,100,,,,,
Milan Broz ,2,2,0,0,2,0.93,100,,,,,
Milan Pandurov ,1,1,0,0,1,0.465,100,,,,,
Miquel Raynal ,5,1,2,2,5,3.525,100,,,,,
Miroslav Benes ,3,1,0,0,3,1.1928,100,,,,,
Nariman Etemadi ,1,1,0,0,1,0.465,100,,,,,
Nicolai Stange ,2,2,0,0,2,0.93,100,,,,,
Nicolas Belin ,1,1,0,0,1,0.465,100,,,,,
Nicolas Cavallari ,1,1,0,0,1,0.465,100,,,,,
Nicolas Dichtel ,2,1,0,0,2,0.8289,100,,,,,
Nicolas Ferre ,2,2,0,0,2,0.93,100,,,,,
Nicolas Saenz Julienne ,9,4,0,0,9,3.6795,100,,,,,
Niklas Cassel ,1,1,0,0,1,0.465,100,,,,,
Niklas S??derlund ,4,1,0,0,4,1.5567,100,,,,,
Niklas Schnelle ,3,1,0,0,3,1.1928,100,,,,,
Nirmoy Das ,8,1,0,0,8,3.0123,100,,,,,
Ole Wiedemann ,1,1,0,0,1,0.465,100,,,,,
Oliver Neukum ,1,1,0,0,1,0.465,100,,,,,
Olivier Moysan ,5,2,0,0,5,2.0217,100,,,,,
Ondrej Mosnacek ,5,3,0,0,5,2.1228,100,,,,,
Pablo Neira Ayuso ,18,8,1,1,18,8.1612,100,,,,,
Pali Rohár ,2,1,0,0,2,0.8289,100,,,,,
Paolo Bonzini ,29,4,7,7,29,16.5729,100,,,,,
Paolo Lungaroni ,1,1,0,0,1,0.465,100,,,,,
Paolo Valente ,7,1,0,0,7,2.6484,100,,,,,
Pascal Paillet ,6,1,0,0,6,2.2845,100,,,,,
Patrice Chotard ,1,1,0,0,1,0.465,100,,,,,
Patrick Rudolph ,1,1,0,0,1,0.465,100,,,,,
Paul Cercueil ,14,3,0,0,14,5.3979,100,,,,,
Paul Kocialkowski ,1,1,0,0,1,0.465,100,,,,,
Pavel ,1,1,0,0,1,0.465,100,,,,,
Pavel Machek ,2,1,0,0,2,0.8289,100,,,,,
Per Forlin ,2,1,0,0,2,0.8289,100,,,,,
Peter Gro??e ,1,1,0,0,1,0.465,100,,,,,
Petr ??tetiar ,1,1,0,0,1,0.465,100,,,,,
Petr Mladek ,5,1,0,0,5,1.9206,100,,,,,
Petr Pavlu ,1,1,0,0,1,0.465,100,,,,,
Petr Vorel ,1,1,0,0,1,0.465,100,,,,,
Phil Elwell ,1,1,0,0,1,0.465,100,,,,,
Phong LE ,1,1,0,0,1,0.465,100,,,,,
Rafa?? Mi??ecki ,2,1,0,0,2,0.8289,100,,,,,
Rafael J. Wysocki ,44,5,25,25,44,36.5721,100,,,,,
Rasmus Villemoes ,6,1,0,0,6,2.2845,100,,,,,
Reinhard Speyerer ,1,1,0,0,1,0.465,100,,,,,
Remi Pommarel ,1,1,0,0,1,0.465,100,,,,,
Reto Schneider ,3,1,0,0,3,1.1928,100,,,,,
Richard Palethorpe ,1,1,0,0,1,0.465,100,,,,,
Rikard Falkeborn ,1,1,0,0,1,0.465,100,,,,,
Robert Marko ,2,1,0,0,2,0.8289,100,,,,,
Robert Richter ,2,2,0,0,2,0.93,100,,,,,
Roberto Bergantinos Corpas ,1,1,0,0,1,0.465,100,,,,,
Roberto Sassu ,1,1,0,0,1,0.465,100,,,,,
Roland Scheidegger ,1,1,0,0,1,0.465,100,,,,,
Samuel Thibault ,1,1,0,0,1,0.465,100,,,,,
Saravanan Sekar ,1,1,0,0,1,0.465,100,,,,,
Sascha Hauer ,2,2,0,0,2,0.93,100,,,,,
Sebastian Andrzej Siewior ,5,2,0,0,5,2.0217,100,,,,,
Sébastien Szymanski ,1,1,0,0,1,0.465,100,,,,,
SeongJae Park ,11,1,0,0,11,4.104,100,,,,,
Stefan Haberland ,1,1,0,0,1,0.465,100,,,,,
Stefan Metzmacher ,1,1,0,0,1,0.465,100,,,,,
Stefan Wahren ,7,2,0,0,7,2.7495,100,,,,,
Stefano Brivio ,9,2,0,0,9,3.4773,100,,,,,
Stefano Garzarella ,3,3,0,0,3,1.395,100,,,,,
Steffen Klassert ,4,1,0,0,4,1.5567,100,,,,,
Stephan Gerhold ,12,5,0,0,12,4.8723,100,,,,,
Stephen Kitt ,4,1,0,0,4,1.5567,100,,,,,
Sven Eckelmann ,2,2,0,0,2,0.93,100,,,,,
Sven Schnelle ,3,1,0,0,3,1.1928,100,,,,,
Takashi Iwai ,50,17,11,8,50,27.3582,100,,,,,
Thierry Reding ,19,3,0,0,19,7.2174,100,,,,,
Thomas Bogendoerfer ,8,4,0,0,8,3.3156,100,,,,,
Thomas Gleixner ,18,6,5,5,18,11.1678,100,,,,,
Thomas Hellstrom ,5,1,0,0,5,1.9206,100,,,,,
Thomas Renninger ,1,1,0,0,1,0.465,100,,,,,
Thomas Richter ,6,1,1,1,6,3.0867,100,,,,,
Thomas Zimmermann ,1,1,0,0,1,0.465,100,,,,,
Thommy Jakobsson ,1,1,0,0,1,0.465,100,,,,,
Tobias Klauser ,2,2,0,0,2,0.93,100,,,,,
Tobias Schramm ,1,1,0,0,1,0.465,100,,,,,
Toke H??iland-J??rgensen ,17,9,0,0,17,7.0962,100,,,,,
Tomas Henzl ,1,1,0,0,1,0.465,100,,,,,
